SPELL NAME,SPELL BASICS,SPELL LEVEL,SCHOOL,RITUAL,CONCENTRATION,COMPONENTS,RANGE,CAST TIME,DURATION,DESCRIPTION,DAMAGE INFO,DAMAGE SPELL ,MELEE SPELL ATTACK,RANGED SPELL ATTACK,ACID,COLD,BLUDGEONING,FIRE,FORCE,LIGHTNING,NECROTIC,PIERCING,POISON,RADIANT,SLASHING,THUNDER,SPELL CATEGORY,AOE,BANISHMENT,BUFF,CONDITIONS,COMMUNICATION,CONCEALMENT,DEBUFF,DEFENSIVE,DIVINATION,HEAL,ILLUSION,ILLUMINATION,MINIONS,MOBILITY,6TH SENSE,OFFENSIVE,OTHER,PLANAR,REALITY WARP,REVIVE/RESTORE,SCALES,TELEPORTATION,WARDING,SAVING THROWS,CHARISMA,CONSTITUTION,DEXTERITY,STRENGTH,WISDOM,CLASS,ARTIFICER,BARD,CLERIC,DRUID,PALADIN,RANGER,SORCERER,WARLOCK,WIZARD
*ABSORB ELEMENTS,SPELL BASICS,1,ABJURATION,0,,S.@,SELF,1 REACTION,1 ROUND@,"WHEN YOU TAKE ACID, COLD, FIRE, LIGHTNING, OR THUNDER DAMAGE YOU CAN CAST THIS SPELL AS A REACTION.&THE SPELL CAPTURES SOME OF THE INCOMING ENERGY, LESSENING ITS EFFECT ON YOU AND STORING IT FOR YOUR NEXT MELEE ATTACK. YOU HAVE RESISTANCE TO THE TRIGGERING DAMAGE TYPE UNTIL THE START OF YOUR NEXT TURN. ALSO, THE FIRST TIME YOU HIT WITH A MELEE ATTACK ON YOUR NEXT TURN, THE TARGET TAKES AN EXTRA 1D6 DAMAGE OF THE TRIGGERING TYPE, AND THE SPELL ENDS.&&AT HIGHER LEVELS. WHEN YOU CAST THIS SPELL USING A SPELL SLOT OF 2ND LEVEL OR HIGHER, THE EXTRA DAMAGE INCREASES BY 1D6 FOR EACH SLOT LEVEL ABOVE 1ST.@",DAMAGE INFO,,,0,1,1,0,1,0,1,0,0,0,0,,0,SPELL CATEGORY,0,,1,0,0,,0,1,0,0,0,0,0,,0,1,0,,0,0,1,0,,SAVING THROWS,,,,,,CLASS,0,0,0,1,0,1,0,0,1
ACID SPLASH,SPELL BASICS,0,CONJURATION,0,0,"V, S@",60 FEET,1 ACTION,INSTANTANEOUS@,"YOU HURL A BUBBLE OF ACID. CHOOSE ONE CREATURE WITHIN RANGE, OR CHOOSE TWO CREATURES WITHIN RANGE THAT ARE WITHIN 5 FEET OF EACH OTHER. A TARGET MUST SUCCEED ON A DEXTERITY SAVING THROW OR TAKE 1D6 DAMAGE.&&THIS SPELL'S DAMAGE INCREASES BY 1D6 WHEN YOU REACH 5TH LEVEL (2D6), 11TH LEVEL (3D6), AND 17TH LEVEL (4D6).@",DAMAGE INFO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SPELL CATEGORY,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,SAVING THROWS,0,0,0,0,0,CLASS,,0,0,0,0,0,1,0,1
AID,SPELL BASICS,2,ABJURATION,0,0,"V, S, M, (A TINY STRIP OF WHITE CLOTH)@",30 FEET,1 ACTION,8 HOURS@,"YOUR SPELL BOLSTERS YOUR ALLIES WITH TOUGHNESS AND RESOLVE. CHOOSE UP TO THREE CREATURES WITHIN RANGE. EACH TARGET'S HIT POINTS MAXIMUM AND CURRENT HIT POINTS INCREASE BY 5 FOR THE DURATION.&&AT HIGHER LEVELS. WHEN YOU CAST THIS SPELL USING A SPELL SLOT OF 3RD LEVEL OR HIGHER, A TARGET'S HIT POINTS INCREASE BY AN ADDITIONAL 5 FOR EACH SLOT LEVEL ABOVE 2ND.@",DAMAGE INFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPELL CATEGORY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SAVING THROWS,0,0,0,0,0,CLASS,,,,,,,,,
ALARM,SPELL BASICS,1,ABJURATION,1,0,"V, S, M, (A TINY BELL AND A PIECE OF FINE SILVER WIRE)@",30 FEET,1 MINUTE@,8 HOURS@,"YOU SET AN ALARM AGAINST UNWANTED INTRUSION. CHOOSE A DOOR, A WINDOW, OR AN AREA WITHIN RANGE THAT IS NO LARGER THAN A 20-FOOT CUBE. UNTIL THE SPELL ENDS, AN ALARM ALERTS YOU WHENEVER A TINY OR LARGER CREATURE TOUCHES OR ENTERS THE WARDED AREA. WHEN YOU CAST THIS SPELL, YOU CAN DESIGNATE CREATURES THAT WON'T SET OFF THE ALARM. YOU ALSO CHOOSE WHETHER THE ALARM IS MENTAL OR AUDIBLE.&A MENTAL ALARM ALERTS YOU WITH A PING IN YOUR MIND IF YOU ARE WITHIN 1 MILE OF THE WARDED AREA. THIS PING AWAKENS YOU IF YOU ARE SLEEPING.&AN AUDIBLE ALARM PRODUCES THE SOUND OF A HAND BELL FOR 10 SECONDS WITHIN 60 FEET.@",DAMAGE INFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPELL CATEGORY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,SAVING THROWS,0,0,0,0,0,CLASS,,,,,,,,,
ALTER SELF,SPELL BASICS,2,TRANSMUTATION,0,1,"V, S@",SELF,1 ACTION,"CONCENTRATION, UP TO 1 HOUR@","YOU ASSUME A DIFFERENT FORM. WHEN YOU CAST THIS SPELL, CHOOSE ONE OF THE FOLLOWING OPTIONS, THE EFFECTS OF WHICH LAST FOR THE DURATION OF THE SPELL. WHILE THE SPELL LASTS, YOU CAN END ONE OPTION AS AN ACTION TO GAIN THE BENEFITS OF A DIFFERENT ONE.&$AQUATIC ADAPTATION. YOU ADAPT YOUR BODY TO AN AQUATIC ENVIRONMENT, SPROUTING GILLS AND GROWING WEBBING BETWEEN YOUR FINGERS. YOU CAN BREATHE UNDERWATER AND GAIN A SWIMMING SPEED EQUAL TO YOUR WALKING SPEED.&$CHANGE APPEARANCE. YOU TRANSFORM YOUR APPEARANCE. YOU DECIDE WHAT YOU LOOK LIKE, INCLUDING YOUR HEIGHT, WEIGHT, FACIAL FEATURES, SOUND OF YOUR VOICE, HAIR LENGTH, COLORATION, AND DISTINGUISHING CHARACTERISTICS, IF ANY. YOU CAN MAKE YOURSELF APPEAR AS A MEMBER OF ANOTHER RACE, THOUGH NONE OF YOUR STATISTICS CHANGE. YOU ALSO CAN'T APPEAR AS A CREATURE OF A DIFFERENT SIZE THAN YOU, AND YOUR BASIC SHAPE STAYS THE SAME; IF YOU'RE BIPEDAL, YOU CAN'T USE THIS SPELL TO BECOME QUADRUPEDAL, FOR INSTANCE. AT ANY TIME FOR THE DURATION OF THE SPELL, YOU CAN USE YOUR ACTION TO CHANGE YOUR APPEARANCE IN THIS WAY AGAIN.&$NATURAL WEAPONS. YOU GROW CLAWS, FANGS, SPIINES, HORNS, OR A DIFFERENT NATURAL WEAPON OF YOUR CHOICE. YOUR UNARMED STRIKES DEAL 1D6 BLUDGEONING, PIERCING, OR SLASHING DAMAGE, AS APPROPRIATE TO THE NATURAL WEAPON YOU CHOSE, AND YOU ARE PROFICIENT WITH YOUR UNARMED STRIKES. FINALLY, THE NATURAL WEAPON IS MAGIC AND YOU HAVE A +1 BONUS TO THE ATTACK AND DAMAGE ROLLS YOU MAKE USING IT.@",DAMAGE INFO,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,SPELL CATEGORY,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,SAVING THROWS,0,0,0,0,0,CLASS,,,,,,,,,
ANIMAL FRIENDSHIP,SPELL BASICS,1,ENCHANTMENT,0,0,"V, S, M, (A MORSEL OF FOOD)@",30 FEET,1 ACTION,24 HOURS@,"THIS SPELL LETS YOU CONVINCE A BEAST THAT YOU MEAN IT NO HARM. CHOOSE A BEAST THAT YOU CAN SEE WITHIN RANGE. IT MUST SEE AND HEAR YOU. IF THE BEAST'S INTELLIGENCE IS 4 OR HIGHER, THE SPELL FAILS. OTHERWISE, THE BEAST MUST SUCCEED ON A WISDOM SAVING THROW OR BE CHARMED BY YOU FOR THE SPELLS DURATION. IF YOU OR ONE OF YOUR COMPANIONS HARMS THE TARGET, THE SPELLS END. &&AT HIGHER LEVELS. WHEN YOU CAST THIS SPELL, YOU CAN AFFECT ONE ADDITIONAL BEAST FOR EACH SLOT LEVEL ABOVE 1ST.@",DAMAGE INFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPELL CATEGORY,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,SAVING THROWS,0,0,0,0,1,CLASS,,,,,,,,,
ANIMAL MESSENGER,SPELL BASICS,2,ENCHANTMENT,1,0,"V, S, M, (A MORSEL OF FOOD)@",30 FEET,1 ACTION,24 HOURS@,"BY MEANS OF THIS SPELL, YOU USE AN ANIMAL TO DELIVER A MESSAGE. CHOOSE A TINY BEAST YOU CAN SEE WITHIN RANGE, SUCH AS A SQUIRREL, A BLUE JAY, OR A BAT. YOU SPECIFY A LOCATION, WHICH YOU MUST HAVE VISITED, AND A RECIPIENT WHO MATCHES A GENERAL DESCRIPTION, SUCH AS ""A MAN OR WOMAN DRESSED IN THE UNIFORM OF THE TOWN GUARD"" OR ""A RED-HAIRED DWARF WEARING A POINTED HAT."" YOU ALSO SPEAK A MESSAGE OF UP TO TWENTY-FIVE WORDS. THE TARGET BEAST TRAVELS FOR THE DURATION OF THE SPELL TOWARD THE SPECIFIED LOCATION, COVERING ABOUT 50 MILES PER 24 HOURS FOR A FLYING MESSENGER, OR 25 MILES FOR OTHER ANIMALS.&WHEN THE MESSENGER ARRIVES, IT DELIVERS YOUR MESSAGE TO THE CREATURE THAT YOU DESCRIBED, REPLICATING THE SOUND OF YOUR VOICE. THE MESSENGER SPEAKS ONLY TO A CREATURE MATCHING THE DESCRIPTION OF YOU GAVE. IF THE MESSENGER DOESN'T REACH ITS DESTINATION BEFORE THE SPELL ENDS, THE MESSAGE IS LOST, AND THE BEAST MAKES ITS WAY BACK TO WHERE YOU CAST THIS SPELL. &&AT HIGHER LEVELS. IF YOU CAST THIS SPELL USING A SPELL SLOT OF 3RD LEVEL OR HIGHER, THE DURATION OF THE SPELL INCREASES BY 48 HOURS FOR EACH SLOT LEVEL ABOVE 2ND. @",DAMAGE INFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPELL CATEGORY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SAVING THROWS,0,0,0,0,0,CLASS,,,,,,,,,
ANIMAL SHAPES,SPELL BASICS,8,TRANSMUTATION,0,1,"V, S@",30 FEET,1 ACTION,"CONCENTRATION, UP TO 24 HOURS@","YOUR MAGIC TURNS OTHERS INTO BEASTS. CHOOSE ANY NUMBER OF WILLING CREATURES THAT YOU CAN SEE WITHIN RANGE. YOU TRANSFORM EACH TARGET INTO THE FORM OF A LARGE OR SMALLER BEAST WITH A CHALLENGE RATING OF 4 OR LOWER. ON SUBSEQUENT TURNS, YOU CAN USE YOUR ACTION TO TRANSFORM AFFECTED CREATURES INTO NEW FORMS.&THE TRANSFORMATION LASTS FOR THE DURATION FOR EACH TARGET, OR UNTIL THE TARGET DROPS TO 0 HIT POINTS OR DIES. YOU CAN CHOOSE A DIFFERENT FORM FOR EACH TARGET. A TARGET'S GAME STATISTICS ARE REPLACED BY THE STATISTICS OF THE CHOSEN BEAST, THOUGH THE TARGET RETAINS ITS ALIGNMENT AND INTELLIGENCE, WISDOM, AND CHARISMA SCORES. THE TARGET ASSUMES THE HIT POINTS OF ITS NEW FORM, AND WHEN IT REVERTS TO ITS NORMAL FORM, IT RETURNS TO THE NUMBER OF HIT POINTS IT HAD BEFORE IT TRANSFORMED. IF IT REVERTS AS A RESULT OF DROPPING TO 0 HIT POINTS, ANY EXCESS DAMAGE CARRIES OVER TO ITS NORMAL FORM. AS LONG AS THE EXCESS DAMAGE DOESN'T REDUCE THE CREATURE'S NORMAL FORM TO 0 HIT POINTS, IT ISN'T KNOCKED UNCONSCIOUS. THE CREATURE IS LIMITED IN THE ACTIONS IT CAN PERFORM BY THE NATURE OF ITS NEW FORM, AND IT CAN'T SPEAK OR CAST SPELLS.&THE TARGET'S GEAR MELDS INTO THE NEW FORM. THE TARGET CANT ACTIVATE, WIELD, OR OTHERWISE BENEFIT FROM ANY OF ITS EQUIPMENT.@",DAMAGE INFO,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,SPELL CATEGORY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SAVING THROWS,0,0,0,0,0,CLASS,,,,,,,,,
ANIMATE DEAD,SPELL BASICS,3,NECROMANCY,0,0,"V, S, M, (A DROP OF BLOOD, A PIECE OF FLESH, AND PINCH OF BONE DUST)@",10 FEET,1 MINUTE@,INSTANTANEOUS@,"THIS SPELL CREATES AN UNDEAD SERVANT. CHOOSE A PILE OF BONES OR A CORPSE OF A MEDIUM OR SMALL HUMANOID WITHIN RANGE. YOUR SPELL IMBUES THE TARGET WITH A FOUL MIMICRY OF LIFE, RAISING IT AS AN UNDEAD CREATURE. THE TARGET BECOMES A SKELETON IF YOU CHOSE BONES OR A ZOMBIE IF YOU CHOSE  A CORPSE (THE DM HAS THE CREATURE'S GAME STATISTICS).&ON EACH OF YOUR TURNS, YOU CAN USE A BONUS ACTIONTO MENTALLY COMMAND ANY CREATURE YOU MADE WITH THIS SPELL IF THE CREATURE IS WITHIN 60 FEET OF YOU (IF YOU CONTROL MULTIPLE CREATURES, YOU CAN COMMAND ANY OR ALL OF THEM AT THE SAME TIME, ISSUING THE SAME COMMAND TO EACH ONE). YOU DECIDE WHAT ACTION THE CREATURE WILL TAKE AND WHERE IT WILL MOVE DURING ITS NEXT TURN, OR YOU CAN ISSUE A GENERAL COMMAND,, SUCH AS TO GUARD A PARTICULAR CHAMBER OR CORRIDOR. IF YOU ISSUE NO COMMANDS, THE CREATURE ONLY DEFENDS ITSELF AGAINST HOSTILE CREATURES. ONCE GIVEN AN ORER, THE CREATURE CONTINUES TO FOLLOW IT UNTIL ITS TASK IS COMPLETE.&THE CREATURE IS UNDER YOUR CONTROL FOR 24 HOURS, AFTER WHICH IT STOPS OBEYING ANY COMMAND YOU'VE GIVEN IT. TO MAINTAIN CONTROL OF THE CREATURE FOR ANOTHER 24 HOURS, YOU MUST CAST THIS SPELL ON THE CREATURE AGAIN BEFORE THE CURRENT 24-HOUR PERIOD ENDS. THIS USE OF THE SPELL REASSERTS YOUR CONTROL OVER UP TO FOUR CREATURES YOU HAVE ANIMATED WITH THIS SPELL, RATHER THAN ANIMATING A NEW ONE.&&AT HIGHER LEVELS. WHEN YOU CAST THIS SPELL USING A SPELL SLOT OF 4TH LEVEL OR HIGHER, YOU ANIMATE OR REASSERT CONTROL OVER TWO ADDITIONAL UNDEAD CREATURES FOR EACH SLOT LEVEL ABOVE 3RD. EACH OF THE CREATURES MUST COME FROM A DIFFERENT CORPSE OR PILE OF BONES.@",DAMAGE INFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SPELL CATEGORY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,SAVING THROWS,0,0,0,0,0,CLASS,,,,,,,,,
ANIMATE OBJECTS,SPELL BASICS,5,TRANSMUTATION,0,1,"V, S@",120 FEET,1 ACTION,"CONCENTRATION, UP TO 1 MINUTE@","OBJECTS COME TO LIFE AT YOUR COMMAND. CHOOSE UP TO TEN NONMAGICAL OBJECTS WITHIN RANGE THAT ARE NOT BEING WORN OR CARRIED. MEDIUM TARGETS COUNT AS TWO OBJECTS, LARGE TARGETS COUNT AS FOUR OBJECTS, HUGE TARGETS COUNT AS EIGHT OBJECTS. YOU CAN'T ANIMATE ANY OBJECT LARGER THAN HUGE. EACH TARGET ANIMATES AND BECOMES A CREATURE UNDER YOUR CONTROL UNTIL THE SPELL ENDS OR UNTIL REDUCED TO 0 HIT POINTS.&AS A BONUS ACTION, YOU CAN MENTALLY COMMAND ANY CREATURE YOU MADE WITH THIS SPELL IF THE CREATURE IS WITHIN 500 FEET OF YOU (IF YOU CONTROL MULTIPLE CREATURES, YOU CAN COMMAND ANY OR ALL OF THEM AT THE SAME TIME, ISSUING THE SAME COMMAND TO EACH ONE). YOU DECIDE WHAT ACTION THE CREATURE WILL TAKE AND WHERE IT WILL MOVE DURING ITS NEXT TURN, OR YOU CAN ISSUE A GENERAL COMMAND, SUCH AS TO GUARD A PARTICULAR CHAMBER OR CORRIDOR. IF YOU ISSUE NO COMMANDS, THE CREATURE ONLY DEFENDS ITSELF AGAINST HOSTILE CREATURES. ONCE GIVEN AN ORDER, THE CREATURE CONTINUES TO FOLLOW IT UNTIL ITS TASK IS COMPLETE.&&ANIMATED OBJECT STATISTICS&SIZE$HP AC ATTACK$$$STR DEX&TINY$20 18 +8 TO HIT, 1D4+4 DAMAGE$4   18&SMALL$25 16 +6 TO HIT, 1D8+2 DAMAGE$6$6   14&MEDIUM$40 13 +5 TO HIT, 2D6+1 DAMAGE$14 10&LARGE$50 10 +6 TO HIT, 2D10+2 DAMAGE$14 10&HUGE$80 10 +8 TO HIT, 2D12 +4 DAMAGE$18 6&&AN ANIMATED OBJECT IS A CONSTRUCT WITH AC, HIT POINTS, ATTACKS, STRENGTH, AND DEXTERITY DETERMINED BY ITS SIZE. ITS CONSTITUTION IS 10 AND ITS INTELLIGENCE AND WISDOM ARE 3, AND ITS CHARISMA IS 1. ITS SPEED IS 30 FEET, IF THE OBJECTS LACK LEGS OR OTHER APPENDAGES IT CAN USE FOR LOCOMOTION, IT INSTEAD HAS A FLYING SPEED OF 30 FEET AND CAN HOVER. IF THE OBJECT IS SECURELY ATTACHED TO A SURFACE OR LARGER OBJECT, SUCH AS A CHAIN BOLTED TO A WALL, ITS SPEED IS 0. IT HAS BLINDSIGHT WITH A RADIUS OF 30 FEET AND IS BLIND BEYOND THAT DISTANCE. WHEN THE ANIMATED OBJECT DROPS TO 0 HIT POINTS, IT REVERTS TO ITS ORIGINAL OBJECT FORM, AND ANY REMAINING DAMAGE CARRIES OVER TO ITS ORIGINAL OBJECT FORM.&IF YOU COMMAND AN OBJECT TO ATTACK, IT CAN MAKE A SINGLE MELEE ATTACK AGAINST A CREATURE WITHIN 5 FEET OF IT. IT MAKES A SLAM ATTACK WITH AN ATTACK BONUS AND BLUDGEONING DAMAGE DETERMINE BY ITS SIZE. THE DM MIGHT RULE THAT A SPECIFIC OBJECT INFLICTS SLASHING OR PIERCING DAMAGE BASED ON ITS FORM.&&AT HIGHER LEVELS: IF YOU CAST THIS SPELL USING A SPELL SLOT OF 6TH LEVEL OR HIGHER, YOU CAN ANIMATE TWO ADDITIONAL OBJECTS FOR EACH SLOT LEVEL ABOVE 5TH.@",DAMAGE INFO,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,SPELL CATEGORY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,SAVING THROWS,0,0,0,0,0,CLASS,,,,,,,,,
